"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,1,-1,1,0,12,2,2,2,14,28,1,-1,-1,6,345,0
2018,3,-1,2,0,0,1,2,1,13,77,3,-1,-1,8,346,2
2018,2,100,2,0,12,2,2,1,12,30,5,-1,40,1,347,0
2018,1,-1,2,2,0,1,2,1,12,67,2,-1,-1,5,348,0
2018,1,-1,3,1,0,2,2,1,12,53,5,-1,-1,6,349,0
2018,3,-1,2,1,1,2,2,1,15,37,1,-1,-1,4,350,1
2018,2,7,1,2,13,2,2,4,14,51,1,-1,40,1,351,0
2018,1,-1,2,3,9,2,2,1,12,35,1,-1,-1,8,352,0
2018,3,-1,2,4,0,1,2,4,20,60,1,-1,-1,5,353,2
2018,1,-1,2,1,12,3,1,4,16,68,1,-1,-1,5,354,0
2018,1,9.5,1,0,12,1,1,4,20,43,1,-1,45,1,355,0
2018,3,-1,1,0,0,3,2,1,12,36,1,-1,-1,7,356,1
2018,3,0,1,0,8,2,2,0,9,34,5,-1,37,1,357,3
2018,2,75,1,3,12,2,1,4,18,39,1,-1,40,1,358,1
2018,1,10,2,6,12,1,1,2,14,52,5,-1,60,1,359,0
2018,3,70,2,4,12,1,1,1,12,70,4,-1,60,1,360,2
2018,2,-1,2,6,0,1,1,1,12,60,1,-1,-1,5,361,1
2018,1,-1,1,7,0,1,2,1,13,61,1,-1,-1,7,362,0
